Group,Sub Group,Item No.,MBS Item No.,Units,Description,MBS Fee,MBS Units,MBS Fee Note,Note,Has other modifier,Has time modifer
Anaesthesia / Pelvis (except Hip),Skeletal,CJ130,21130,3,body cast application or revision*,67.65,3,0,"* The MBS descriptor includes the requirement that this procedure be performed in the operating theatre of a hospital or day hospital facility. This is also the case with a number of other ‘closed’ procedures. The ASA recognises that anaesthesia for such procedures can be performed outside of hospital facilities, provided the relevant ANZCA guidelines are met, but members should note that no Medicare or private insurance benefit will be payable in these circumstances",TRUE,
Anaesthesia / Pelvis (except Hip),Skeletal,CJ140,21140,15,interpelviabdominal (hind quarter) amputation,338.25,15,0,,TRUE,
Anaesthesia / Pelvis (except Hip),Skeletal,CJ160,21160,4,closed procedures involving the symphysis pubis or sacroiliac joint*,90.2,4,0,"* The MBS descriptor includes the requirement that this procedure be performed in the operating theatre of a hospital or day hospital facility. This is also the case with a number of other ‘closed’ procedures. The ASA recognises that anaesthesia for such procedures can be performed outside of hospital facilities, provided the relevant ANZCA guidelines are met, but members should note that no Medicare or private insurance benefit will be payable in these circumstances",TRUE,
Anaesthesia / Pelvis (except Hip),Skeletal,CJ170,21170,8,open procedures involving the symphysis pubis or the sacroiliac joint,180.4,8,0,,TRUE,
Anaesthesia / Pelvis (except Hip),Vascular/Microsurgery,CJ155,21155,12,ANAESTHESIA for microvascular free tissue flap surgery involving the anterior or posterior pelvis,225.5,10,0,,TRUE,
Anaesthesia / Pelvis (except Hip),Miscellaneous,CJ150,21150,10,"ANAESTHESIA for radical procedures for tumour of the pelvis, except hind quarter amputation",225.5,10,0,,TRUE,
Anaesthesia / Perineum,Male Genitalia,CH925,,4,procedures on the cord and/or testes unless otherwise specified,,,,,TRUE,
Anaesthesia / Perineum,Skin/Soft Tissue,CH900,20900,3,ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the perineum unless otherwise specified,67.65,3,0,,TRUE,
Anaesthesia / Perineum,Skin/Soft Tissue,CH902,20902,4,"anorectal procedure (including endoscopy and/or biopsy), but not banding of haemorrhoids)*",90.2,4,0,* MBS item 20902 excludes 'banding of haemorrhoids',TRUE,
Anaesthesia / Perineum,Skin/Soft Tissue,CH903,,5,percutaneous perineal procedures on an intra-pelvic organ,,,,CH903 increased from 4 to 5 units 1 April 2024,TRUE,
Anaesthesia / Perineum,Male Genitalia,CH904,20904,7,ANAESTHESIA for radical perineal procedures including radical perineal prostatectomy or radical vulvectomy,157.85,7,0,,TRUE,
Anaesthesia / Perineum,Male Genitalia,CH920,20920,4,all procedures on external genitalia unless otherwise specified,90.2,4,0,,TRUE,
Anaesthesia / Perineum,Male Genitalia,CH924,20924,4,"undescended testis, unilateral or bilateral",90.2,4,0,,TRUE,
Anaesthesia / Perineum,Male Genitalia,CH926,20926,4,"radical orchidectomy, inguinal approach",90.2,4,0,,TRUE,
Anaesthesia / Perineum,Male Genitalia,CH928,20928,6,"radical orchidectomy, abdominal approach",135.3,6,0,,TRUE,
Anaesthesia / Perineum,Male Genitalia,CH930,20930,4,"orchiopexy, unilateral or bilateral",90.2,4,0,,TRUE,
Anaesthesia / Perineum,Male Genitalia,CH932,20932,4,complete amputation of the penis,90.2,4,0,,TRUE,
Anaesthesia / Perineum,Male Genitalia,CH934,20934,6,complete amputation of the penis with bilateral inguinal lymphadenectomy,135.3,6,0,,TRUE,
Anaesthesia / Perineum,Male Genitalia,CH936,20936,8,complete amputation of the penis with bilateral inguinal and iliac lymphadenectomy,180.4,8,0,,TRUE,
Anaesthesia / Perineum,Male Genitalia,CH938,20938,4,insertion of penile prosthesis,90.2,4,0,,TRUE,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH904,20904,7,"ANAESTHESIA for radical perineal procedure, including radical perineal prostatectomy or radical vulvectomy",157.85,7,0,,TRUE,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH906,20906,4,vulvectomy,90.2,4,0,,TRUE,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH940,20940,4,"per vaginal and vaginal procedures (including biopsy of vagina, cervix or endometrium) unless otherwise specified",90.2,4,0,,TRUE,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH942,20942,5,"vaginal procedures, including repair operations and urinary incontinence procedures (perineal)",112.75,5,0,,TRUE,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH943,20943,4,transvaginal assisted reproductive services,90.2,4,0,,TRUE,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH944,20944,6,vaginal hysterectomy,135.3,6,0,,TRUE,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH946,20946,8,vaginal birth*,180.4,8,0,"* The Departments of Health and Human Services have changed the descriptors for a number of MBS items, to read ’birth‘ rather than ’delivery‘*

*ASA RVG modifier P7 is already included within items CG850, CG855, CH946, CH954 and should not be concurrently claimed CH946 increased from 6 to 8 units 1 April 2024.",TRUE,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH948,20948,4,"purse string ligation of cervix, or removal of purse string ligature",90.2,4,0,,TRUE,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH950,20950,5,culdoscopy,112.75,5,0,,TRUE,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH952,20952,4,hysteroscopy,90.2,4,0,,TRUE,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH954,20954,8,correction of inverted uterus (ASA RVG has modifier P7),225.5,10,0,,TRUE,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH956,20956,4,"evacuation of retained products of conception, as a complication of confinement",90.2,4,0,,TRUE,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH958,20958,5,manual removal of retained placenta or for repair of vaginal or perineal tear following birth*,112.75,5,0,"* The Departments of Health and Human Services have changed the descriptors for a number of MBS items, to read ’birth‘ rather than ’delivery‘",TRUE,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH960,20960,7,vaginal procedures in the management of post partum haemorrhage (blood loss > 500ml)*,157.85,7,0,"*ASA RVG modifier P7 is already included within items CG850, CG855, CH946, CH954 and should not be concurrently claimed CH946 increased from 6 to 8 units 1 April 2024.",TRUE,
Anaesthesia / Perineum,Transurethral,CH910,20910,4,ANAESTHESIA for all transurethral procedures (including urethrocystoscopy) unless otherwise specified,90.2,4,0,,TRUE,
Anaesthesia / Perineum,Transurethral,CH911,20911,5,endoscopic ureteric surgery including laser procedures,112.75,5,0,,TRUE,
Anaesthesia / Perineum,Transurethral,CH912,20912,5,transurethral resection of bladder tumour(s),112.75,5,0,,TRUE,
Anaesthesia / Perineum,Transurethral,CH914,20914,7,transurethral resection of prostate,157.85,7,0,,TRUE,
Anaesthesia / Perineum,Transurethral,CH916,20916,7,post-transurethral resection bleeding,157.85,7,0,,TRUE,
Anaesthesia / Perineum,Vascular/Microsurgery,CH905,20905,12,ANAESTHESIA for microvascular free tissue flap surgery involving the perineum,225.5,10,0,,TRUE,
Anaesthesia / Shoulder and Axilla,Skin/Soft Tissue,CN600,21600,3,ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the shoulder or axilla,67.65,3,0,,TRUE,
Anaesthesia / Shoulder and Axilla,Skin/Soft Tissue,CN610,21610,5,"all procedures on the nerves, muscles, tendons, fascia or bursae of the shoulder or axilla, including axillary dissection",112.75,5,0,,TRUE,
Anaesthesia / Shoulder and Axilla,Shoulder,CN620,21620,4,"ANAESTHESIA for all closed procedures on the humeral head and neck, sternoclavicular joint, acromioclavicular joint or the shoulder joint*",90.2,4,0,"* The MBS descriptor includes the requirement that this procedure be performed in the operating theatre of a hospital or day hospital facility. This is also the case with a number of other ‘closed’ procedures. The ASA recognises that anaesthesia for such procedures can be performed outside of hospital facilities, provided the relevant ANZCA guidelines are met, but members should note that no Medicare or private insurance benefit will be payable in these circumstances",TRUE,
Anaesthesia / Shoulder and Axilla,Shoulder,CN622,21622,5,all arthroscopic procedures of the shoulder joint,112.75,5,0,,TRUE,
Anaesthesia / Shoulder and Axilla,Shoulder,CN630,21630,5,"all open procedures on the humeral head and neck, sternoclavicular joint, acromioclavicular joint or the shoulder joint unless otherwise specified",112.75,5,0,,TRUE,
Anaesthesia / Shoulder and Axilla,Shoulder,CN632,21632,6,"radical resection involving humeral head and neck, sternoclavicular joint, acromioclavicular joint or shoulder joint",135.3,6,0,,TRUE,
Anaesthesia / Shoulder and Axilla,Shoulder,CN634,21634,9,shoulder disarticulation,202.95,9,0,,TRUE,
Anaesthesia / Shoulder and Axilla,Shoulder,CN636,21636,15,interthoracoscapular (forequarter) amputation,338.25,15,0,,TRUE,
Anaesthesia / Shoulder and Axilla,Shoulder,CN638,21638,10,total shoulder replacement,225.5,10,0,,TRUE,
Anaesthesia / Shoulder and Axilla,Shoulder,CN680,21680,3,"shoulder cast application, removal or repair unless otherwise specified*",67.65,3,0,"* The MBS descriptor includes the requirement that this procedure be performed in the operating theatre of a hospital or day hospital facility. This is also the case with a number of other ‘closed’ procedures. The ASA recognises that anaesthesia for such procedures can be performed outside of hospital facilities, provided the relevant ANZCA guidelines are met, but members should note that no Medicare or private insurance benefit will be payable in these circumstances",TRUE,
Anaesthesia / Shoulder and Axilla,Shoulder,CN682,21682,4,shoulder spica application*,90.2,4,0,"* The MBS descriptor includes the requirement that this procedure be performed in the operating theatre of a hospital or day hospital facility. This is also the case with a number of other ‘closed’ procedures. The ASA recognises that anaesthesia for such procedures can be performed outside of hospital facilities, provided the relevant ANZCA guidelines are met, but members should note that no Medicare or private insurance benefit will be payable in these circumstances",TRUE,
Anaesthesia / Shoulder and Axilla,Vascular/Microsurgery,CN650,21650,8,ANAESTHESIA for all procedures on the arteries of the shoulder or axilla unless otherwise specified,180.4,8,0,,TRUE,
Anaesthesia / Shoulder and Axilla,Vascular/Microsurgery,CN652,21652,10,procedures for axillary-brachial aneurysm,225.5,10,0,,TRUE,
Anaesthesia / Shoulder and Axilla,Vascular/Microsurgery,CN654,21654,8,bypass graft of arteries of shoulder or axilla,180.4,8,0,,TRUE,
Anaesthesia / Shoulder and Axilla,Vascular/Microsurgery,CN656,21656,10,axillary-femoral bypass graft,225.5,10,0,,TRUE,
Anaesthesia / Shoulder and Axilla,Vascular/Microsurgery,CN670,21670,4,all procedures on the veins of the shoulder or axilla,90.2,4,0,,TRUE,
Anaesthesia / Shoulder and Axilla,Vascular/Microsurgery,CN685,21685,12,microvascular free tissue flap surgery involving the shoulder or the axilla,225.5,10,0,,TRUE,
Anaesthesia / Spine and Spinal Cord,Cervical,CE600,20600,10,ANAESTHESIA for all procedures on the cervical spine and/or cord unless otherwise specified (for myelography and discography see Items CS908 and CS914),225.5,10,0,,TRUE,
Anaesthesia / Spine and Spinal Cord,Cervical,CE604,20604,13,posterior cervical laminectomy with the patient in the sitting position,293.15,13,0,,TRUE,
Anaesthesia / Spine and Spinal Cord,Thoracic,CE620,20620,10,ANAESTHESIA for all procedures on the thoracic spine and/or cord unless otherwise specified (for myelography and discography see Items CS906 and CS912),225.5,10,0,,TRUE,
Anaesthesia / Spine and Spinal Cord,Thoracic,CE622,20622,13,thoracolumbar sympathectomy,293.15,13,0,,TRUE,
Anaesthesia / Spine and Spinal Cord,Lumbar,CE630,20630,8,ANAESTHESIA for all procedures in the lumbar region unless otherwise specified (for myelography and discography see Items CS906 and CS912),180.4,8,0,,TRUE,
Anaesthesia / Spine and Spinal Cord,Lumbar,CE632,20632,7,lumbar sympathectomy,157.85,7,0,,TRUE,
Anaesthesia / Spine and Spinal Cord,Lumbar,CE634,20634,10,chemonucleolysis,225.5,10,0,,TRUE,
Anaesthesia / Spine and Spinal Cord,Miscellaneous,CE670,20670,13,ANAESTHESIA for extensive spine and spinal cord procedures,293.15,13,0,2 or more levels of the spine or spinal cord.,TRUE,
Anaesthesia / Spine and Spinal Cord,Miscellaneous,CE680,20680,3,manipulation of spine*,67.65,3,0,"The MBS descriptor includes the requirement that this procedure be performed in the operating theatre of a hospital or day hospital facility. This is also the case with a number of other 'closed' procedures. The ASA recognises that anaesthesia for such procedures can be performed outside of hospital facilities, provided the relevant ANZCA guidelines are met, but members should note that no Medicare or private insurance benefit will be payable in these circumstances",TRUE,
Anaesthesia / Spine and Spinal Cord,Miscellaneous,CE690,20690,5,percutaneous spinal procedures,112.75,5,0,,TRUE,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skin/Soft Tissue,CC415,,4,"For all procedures on the nerves, muscles or other deep tissues of the chest wall unless otherwise specified",,,,,TRUE,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skin/Soft Tissue,CC400,20400,3,ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the chest wall unless otherwise specified,67.65,3,0,,TRUE,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skin/Soft Tissue,,20420,5,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the posterior part of the chest, not being a service to which another item in this subgroup applies (5 basic units) Not necessary in the ASA RVG due to modifier for prone position",112.75,5,0,,FALSE,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Breast,CC401,20401,4,ANAESTHESIA for procedures on the breast unless otherwise specified,90.2,4,0,,TRUE,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Breast,CC402,20402,5,reconstructive procedures on the breast including implant reconstruction and exchange,112.75,5,0,,TRUE,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Breast,CC403,20403,5,Axillary dissection or sentinel node biopsy,112.75,5,0,,TRUE,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Breast,CC404,20404,6,mastectomy,135.3,6,0,,TRUE,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Breast,CC405,20405,8,reconstructive procedures on the breast using myocutaneous flaps,180.4,8,0,,TRUE,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Breast,CC406,20406,13,radical or modified radical procedures on breast with internal mammary node dissection,293.15,13,0,,TRUE,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skeletal,CC440,20440,4,ANAESTHESIA for percutaneous bone marrow biopsy of the sternum,90.2,4,0,,TRUE,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skeletal,CC450,20450,5,"all procedures on the clavicle, scapula or sternum unless otherwise specified",112.75,5,0,,TRUE,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skeletal,CC452,20452,6,"radical surgery on clavicle, scapula or sternum",135.3,6,0,,TRUE,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skeletal,CC470,20470,6,partial rib resection unless otherwise specified,135.3,6,0,,TRUE,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skeletal,CC472,20472,10,thoracoplasty,225.5,10,0,,TRUE,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skeletal,CC474,20474,13,extensive procedures (e.g. Pectus excavatum),293.15,13,0,"With regard to Item CC474, “extensive” refers to major reconstructive surgery such as pectus excavatum repair or similar.",TRUE,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Vascular/Microsurgery,CC475,20475,12,ANAESTHESIA for microvascular free tissue flap surgery involving the anterior or posterior thorax,225.5,10,0,,TRUE,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Miscellaneous,CC410,20410,4,ANAESTHESIA for electrical conversion of arrhythmias,90.2,4,0,,TRUE,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skeletal,CC471,,6,ANAESTHESIA for fixation of fractured ribs,,,,CC471 added 1 April 2024,TRUE,
Anaesthesia / Upper Abdomen,Endoscopy,CF742,,6,upper gastrointestinal procedures in association with imaging techniques including fluoroscopy and ultrasound,,,,,TRUE,
Anaesthesia / Upper Abdomen,Skin/Soft Tissue,CF700,20700,3,ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the upper abdominal wall unless otherwise specified,67.65,3,0,,TRUE,
Anaesthesia / Upper Abdomen,Skin/Soft Tissue,CF703,20703,4,"procedures on the nerves, muscles, tendons and fascia of the upper abdominal wall",90.2,4,0,,TRUE,
Anaesthesia / Upper Abdomen,Endoscopy,CF743,,7,"surgical procedures on structures or organs lying outside of the lumen of the gastrointestinal tract, performed via gastrointestinal endoscopy",,,,,TRUE,
Anaesthesia / Upper Abdomen,Intraperitoneal,CF796,,30,liver transplant (recipient),,,,,TRUE,
Anaesthesia / Upper Abdomen,Skin/Soft Tissue,,20730,5,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the upper posterior abdominal wall, not being a service to which another item in this sub-group applies (5 basic units) Not necessary in ASA RVG due to modifier for prone position.",112.75,5,0,,FALSE,
Anaesthesia / Upper Abdomen,Laparoscopy,CF706,20706,7,"laparoscopic procedures in the upper abdomen, including laparoscopic cholecystectomy, unless otherwise specified",157.85,7,0,,TRUE,
Anaesthesia / Upper Abdomen,Endoscopy,CF740,20740,5,ANAESTHESIA for upper gastrointestinal endoscopic procedures,112.75,5,0,,TRUE,
Anaesthesia / Upper Abdomen,Miscellaneous,CF715,,6,ANAESTHESIA for extracorporeal shock wave lithotripsy (see also CG815/20815),,,,,TRUE,
Anaesthesia / Upper Abdomen,Endoscopy,CF745,20745,7,For any of the following: a) upper gastrointestinal endoscopic procedures in association with acute gastrointestinal haemorrhage b) endoscopic retrograde cholangiopancreatography c) upper gastrointestinal endoscopic ultrasound d) percutaneous endoscopic gastrostomy e) upper gastrointestinal endoscopic mucosal resection of tumour,157.85,7,0,,TRUE,
Anaesthesia / Upper Abdomen,Hernias,CF750,20750,5,ANAESTHESIA for all hernia repairs to the upper abdominal wall unless otherwise specified,112.75,5,0,,TRUE,
Anaesthesia / Upper Abdomen,Hernias,CF752,20752,6,repair of incisional hernia and/or wound dehiscence,135.3,6,0,,TRUE,
Anaesthesia / Upper Abdomen,Hernias,CF754,20754,7,procedures on an omphalocele,157.85,7,0,,TRUE,
Anaesthesia / Upper Abdomen,Hernias,CF756,20756,9,transabdominal repair of diaphragmatic hernia,202.95,9,0,,TRUE,
Anaesthesia / Upper Abdomen,Vascular/Microsurgery,CF704,20704,12,ANAESTHESIA for microvascular free tissue flap surgery involving the anterior or posterior upper abdomen,225.5,10,0,,TRUE,
Anaesthesia / Upper Abdomen,Vascular/Microsurgery,CF770,20770,15,all procedures on major upper abdominal blood vessels,338.25,15,0,,TRUE,
Anaesthesia / Upper Abdomen,Intraperitoneal,CF790,20790,8,"ANAESTHESIA for procedures within the peritoneal cavity in the upper abdomen, including any of the following: a) open cholecystectomy b) gastrectomy, c) laparoscopically assisted nephrectomy d) bowel shunts",180.4,8,0,,TRUE,
Anaesthesia / Upper Abdomen,Intraperitoneal,CF791,20791,10,bariatric surgery in a patient with clinically severe obesity,225.5,10,0,,TRUE,
Anaesthesia / Upper Abdomen,Intraperitoneal,CF792,20792,13,partial hepatectomy (excluding liver biopsy),293.15,13,0,,TRUE,
Anaesthesia / Upper Abdomen,Intraperitoneal,CF793,20793,15,extended or trisegmental hepatectomy,338.25,15,0,,TRUE,
Anaesthesia / Upper Abdomen,Intraperitoneal,CF794,20794,12,"pancreatectomy, partial or total (e.g. Whipple procedure)",270.6,12,0,,TRUE,
Anaesthesia / Upper Abdomen,Intraperitoneal,CF798,20798,10,neuro-endocrine tumour removal in the upper abdomen (e.g. carcinoid),225.5,10,0,,TRUE,
Anaesthesia / Upper Abdomen,Miscellaneous,CF799,20799,6,percutaneous procedures on an intra-abdominal organ in the upper abdomen,135.3,6,0,,TRUE,
Anaesthesia / Upper Arm and Elbow,Skin/Soft Tissue,CQ700,21700,3,ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the upper arm or elbow,67.65,3,0,,TRUE,
Anaesthesia / Upper Arm and Elbow,Skin/Soft Tissue,CQ710,21710,4,"all procedures on the nerves, muscles, tendons, fascia or bursae of the upper arm or elbow unless otherwise specified",90.2,4,0,,TRUE,
Anaesthesia / Upper Arm and Elbow,Skin/Soft Tissue,CQ712,21712,5,open tenotomy of the upper arm or elbow,112.75,5,0,,TRUE,
Anaesthesia / Upper Arm and Elbow,Skin/Soft Tissue,CQ714,21714,5,tenoplasty of the upper arm or elbow,112.75,5,0,,TRUE,
Anaesthesia / Upper Arm and Elbow,Skin/Soft Tissue,CQ716,21716,5,"tenodesis, rupture of long tendon of biceps",112.75,5,0,,TRUE,
Anaesthesia / Upper Arm and Elbow,Upper Arm/Elbow,CQ730,21730,3,ANAESTHESIA for all closed procedures on the upper arm or elbow*,67.65,3,0,"* The MBS descriptor includes the requirement that this procedure be performed in the operating theatre of a hospital or day hospital facility. This is also the case with a number of other ‘closed’ procedures. The ASA recognises that anaesthesia for such procedures can be performed outside of hospital facilities, provided the relevant ANZCA guidelines are met, but members should note that no Medicare or private insurance benefit will be payable in these circumstances",TRUE,
Anaesthesia / Upper Arm and Elbow,Upper Arm/Elbow,CQ732,21732,4,arthroscopic procedures of the elbow joint,90.2,4,0,,TRUE,
Anaesthesia / Upper Arm and Elbow,Upper Arm/Elbow,CQ740,21740,5,open procedures on the upper arm or elbow unless otherwise specified,112.75,5,0,,TRUE,
Anaesthesia / Upper Arm and Elbow,Upper Arm/Elbow,CQ756,21756,6,radical procedures on the upper arm or elbow,135.3,6,0,,TRUE,
Anaesthesia / Upper Arm and Elbow,Upper Arm/Elbow,CQ760,21760,7,total elbow replacement,157.85,7,0,,TRUE,
Anaesthesia / Upper Arm and Elbow,Vascular/Microsurgery,CQ770,21770,8,ANAESTHESIA for all procedures on the arteries of the upper arm unless otherwise specified,180.4,8,0,,TRUE,
Anaesthesia / Upper Arm and Elbow,Vascular/Microsurgery,CQ772,21772,6,embolectomy of arteries of the upper arm,135.3,6,0,,TRUE,
Anaesthesia / Upper Arm and Elbow,Vascular/Microsurgery,CQ780,21780,4,all procedures on the veins of the upper arm unless otherwise specified,90.2,4,0,,TRUE,
Anaesthesia / Upper Arm and Elbow,Vascular/Microsurgery,CQ785,21785,12,microvascular free tissue flap surgery involving the upper arm or elbow,225.5,10,0,,TRUE,
Anaesthesia / Upper Arm and Elbow,Vascular/Microsurgery,CQ790,21790,15,microsurgical reimplantation of the upper arm,338.25,15,0,,TRUE,
Anaesthesia / Upper Leg (except Knee),Skin/Soft Tissue,CK195,21195,3,ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the upper leg,67.65,3,0,,TRUE,
Anaesthesia / Upper Leg (except Knee),Skin/Soft Tissue,CK199,21199,4,"all procedures on the nerves, muscles, tendons, fascia, or bursae of the upper leg",90.2,4,0,,TRUE,
Anaesthesia / Upper Leg (except Knee),Hip,CK200,21200,4,ANAESTHESIA for all closed procedures involving the hip joint*,90.2,4,0,"* The MBS descriptor includes the requirement that this procedure be performed in the operating theatre of a hospital or day hospital facility. This is also the case with a number of other ‘closed’ procedures. The ASA recognises that anaesthesia for such procedures can be performed outside of hospital facilities, provided the relevant ANZCA guidelines are met, but members should note that no Medicare or private insurance benefit will be payable in these circumstances",TRUE,
Anaesthesia / Upper Leg (except Knee),Hip,CK202,21202,4,arthroscopic procedures of the hip joint,90.2,4,0,,TRUE,
Anaesthesia / Upper Leg (except Knee),Hip,CK210,21210,6,open procedures involving the hip joint unless otherwise specified,135.3,6,0,,TRUE,
Anaesthesia / Upper Leg (except Knee),Hip,CK212,21212,10,hip disarticulation,225.5,10,0,,TRUE,
Anaesthesia / Upper Leg (except Knee),Hip,CK214,21214,10,Primary total hip replacement,225.5,10,0,,TRUE,
Anaesthesia / Upper Leg (except Knee),Hip,CK215,21215,15,Revision total hip replacement,338.25,15,0,,FALSE,
Anaesthesia / Upper Leg (except Knee),Hip,CK216,21216,14,bilateral total hip replacement,315.7,14,0,,TRUE,
Anaesthesia / Upper Leg (except Knee),Femur (Upper 2/3),CK220,21220,4,ANAESTHESIA for all closed procedures involving the upper 2/3 of the femur*,90.2,4,0,"* The MBS descriptor includes the requirement that this procedure be performed in the operating theatre of a hospital or day hospital facility. This is also the case with a number of other ‘closed’ procedures. The ASA recognises that anaesthesia for such procedures can be performed outside of hospital facilities, provided the relevant ANZCA guidelines are met, but members should note that no Medicare or private insurance benefit will be payable in these circumstances",TRUE,
Anaesthesia / Upper Leg (except Knee),Femur (Upper 2/3),CK230,21230,6,all open procedures involving the upper 2/3 of the femur unless otherwise specified,135.3,6,0,,TRUE,
Anaesthesia / Upper Leg (except Knee),Femur (Upper 2/3),CK232,21232,5,above knee amputation,112.75,5,0,,TRUE,
Anaesthesia / Upper Leg (except Knee),Femur (Upper 2/3),CK234,21234,8,radical resection of upper 2/3 of the femur,180.4,8,0,,TRUE,
Anaesthesia / Upper Leg (except Knee),Vascular/Microsurgery,CK260,21260,4,"ANAESTHESIA for all procedures involving the veins of the upper leg, including exploration",90.2,4,0,,TRUE,
Anaesthesia / Upper Leg (except Knee),Vascular/Microsurgery,CK270,21270,8,all procedures involving the arteries of the upper leg (including bypass graft) unless otherwise specified,180.4,8,0,,TRUE,
Anaesthesia / Upper Leg (except Knee),Vascular/Microsurgery,CK272,21272,4,femoral artery ligation,90.2,4,0,,TRUE,
Anaesthesia / Upper Leg (except Knee),Vascular/Microsurgery,CK274,21274,6,"femoral artery embolectomy (for grafts involving intra-abdominal vessels, see Item CG880)",135.3,6,0,,TRUE,
Anaesthesia / Upper Leg (except Knee),Vascular/Microsurgery,CK275,21275,12,microvascular free tissue flap surgery involving the upper leg,225.5,10,0,,TRUE,
Anaesthesia / Upper Leg (except Knee),Vascular/Microsurgery,CK280,21280,15,microsurgical reimplantation of the upper leg,338.25,15,0,,TRUE,
Consultations / Emergency Attendances,,CA060,160,6,"PROFESSIONAL ATTENDANCE ON A PATIENT IN IMMINENT DANGER OF DEATH requiring continuous lifesaving emergency treatment by an anaesthetist, to the exclusion of all other patients.* MBS 160 - $243.85 MBS 161 - $406.35 MBS 162 - $568.65 MBS 163 - $731.50 MBS 164 - $812.75",252.4,0,0,"*The ASA item for an attendance on a patient in imminent danger of death is CA060. An RVG time item applies in addition to this item. The MBS has a series of time-based items for this type of attendance. Item 160* applies if the attendance is of one to two hours in duration, and items 161 to 164* apply for longer attendances, with each subsequent item being for the next hourly period.",TRUE,
Consultations / Emergency Attendances,,CA060,161,6,"PROFESSIONAL ATTENDANCE ON A PATIENT IN IMMINENT DANGER OF DEATH requiring continuous lifesaving emergency treatment by an anaesthetist, to the exclusion of all other patients.* MBS 160 - $243.85 MBS 161 - $406.35 MBS 162 - $568.65 MBS 163 - $731.50 MBS 164 - $812.75",420.55,0,0,"*The ASA item for an attendance on a patient in imminent danger of death is CA060. An RVG time item applies in addition to this item. The MBS has a series of time-based items for this type of attendance. Item 160* applies if the attendance is of one to two hours in duration, and items 161 to 164* apply for longer attendances, with each subsequent item being for the next hourly period.",TRUE,
Consultations / Emergency Attendances,,CA060,162,6,"PROFESSIONAL ATTENDANCE ON A PATIENT IN IMMINENT DANGER OF DEATH requiring continuous lifesaving emergency treatment by an anaesthetist, to the exclusion of all other patients.* MBS 160 - $243.85 MBS 161 - $406.35 MBS 162 - $568.65 MBS 163 - $731.50 MBS 164 - $812.75",588.55,0,0,"*The ASA item for an attendance on a patient in imminent danger of death is CA060. An RVG time item applies in addition to this item. The MBS has a series of time-based items for this type of attendance. Item 160* applies if the attendance is of one to two hours in duration, and items 161 to 164* apply for longer attendances, with each subsequent item being for the next hourly period.",TRUE,
