Category,Subcategory,Item Number,Item Description,Schedule Fee,,,,,,,,
Anaesthesia / Pelvis (except Hip),Skin/Soft Tissue,CJ100,ANAESTHESIA for all procedures on the skin and subcutaneous tissue of the pelvic region except external genitalia,67.65,,,Anaesthesia / Pelvis (except Hip)Skin/Soft Tissue,,,,,
Anaesthesia / Pelvis (except Hip),Skin/Soft Tissue,,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin, its derivatives or subcutaneous tissue of the pelvic region (posterior to iliac crest), except perineum (5 basic units) Not necessary in ASA RVG due to modifier for prone position.",112.75,,,Anaesthesia / Pelvis (except Hip)Skin/Soft Tissue,,,,,
Anaesthesia / Pelvis (except Hip),Skeletal,CJ112,ANAESTHESIA for percutaneous bone marrow biopsy of the anterior iliac crest,90.2,,,Anaesthesia / Pelvis (except Hip)Skeletal,,,,,
Anaesthesia / Pelvis (except Hip),Skeletal,CJ114,percutaneous bone marrow biopsy of the posterior iliac crest,112.75,,,Anaesthesia / Pelvis (except Hip)Skeletal,,,,,
Anaesthesia / Pelvis (except Hip),Skeletal,CJ116,percutaneous bone marrow harvesting from the pelvis,135.3,,,Anaesthesia / Pelvis (except Hip)Skeletal,,,,,
Anaesthesia / Pelvis (except Hip),Skeletal,CJ120,procedures on bony pelvis,135.3,,,Anaesthesia / Pelvis (except Hip)Skeletal,,,,,
Anaesthesia / Pelvis (except Hip),Skeletal,CJ130,body cast application or revision*,67.65,,,Anaesthesia / Pelvis (except Hip)Skeletal,,,,,
Anaesthesia / Pelvis (except Hip),Skeletal,CJ140,interpelviabdominal (hind quarter) amputation,338.25,,,Anaesthesia / Pelvis (except Hip)Skeletal,,,,,
Anaesthesia / Pelvis (except Hip),Skeletal,CJ160,closed procedures involving the symphysis pubis or sacroiliac joint*,90.2,,,Anaesthesia / Pelvis (except Hip)Skeletal,,,,,
Anaesthesia / Pelvis (except Hip),Skeletal,CJ170,open procedures involving the symphysis pubis or the sacroiliac joint,180.4,,,Anaesthesia / Pelvis (except Hip)Skeletal,,,,,
Anaesthesia / Pelvis (except Hip),Vascular/Microsurgery,CJ155,ANAESTHESIA for microvascular free tissue flap surgery involving the anterior or posterior pelvis,225.5,,,Anaesthesia / Pelvis (except Hip)Vascular/Microsurgery,,,,,
Anaesthesia / Pelvis (except Hip),Miscellaneous,CJ150,"ANAESTHESIA for radical procedures for tumour of the pelvis, except hind quarter amputation",225.5,,,Anaesthesia / Pelvis (except Hip)Miscellaneous,,,,,
Anaesthesia / Perineum,Male Genitalia,CH925,procedures on the cord and/or testes unless otherwise specified,#N/A,,,Anaesthesia / PerineumMale Genitalia,,,,,
Anaesthesia / Perineum,Skin/Soft Tissue,CH900,ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the perineum unless otherwise specified,67.65,,,Anaesthesia / PerineumSkin/Soft Tissue,,,,,
Anaesthesia / Perineum,Skin/Soft Tissue,CH902,"anorectal procedure (including endoscopy and/or biopsy), but not banding of haemorrhoids)*",90.2,,,Anaesthesia / PerineumSkin/Soft Tissue,,,,,
Anaesthesia / Perineum,Skin/Soft Tissue,CH903,percutaneous perineal procedures on an intra-pelvic organ,#N/A,,,Anaesthesia / PerineumSkin/Soft Tissue,,,,,
Anaesthesia / Perineum,Male Genitalia,CH904,ANAESTHESIA for radical perineal procedures including radical perineal prostatectomy or radical vulvectomy,157.85,,,Anaesthesia / PerineumMale Genitalia,,,,,
Anaesthesia / Perineum,Male Genitalia,CH920,all procedures on external genitalia unless otherwise specified,90.2,,,Anaesthesia / PerineumMale Genitalia,,,,,
Anaesthesia / Perineum,Male Genitalia,CH924,"undescended testis, unilateral or bilateral",90.2,,,Anaesthesia / PerineumMale Genitalia,,,,,
Anaesthesia / Perineum,Male Genitalia,CH926,"radical orchidectomy, inguinal approach",90.2,,,Anaesthesia / PerineumMale Genitalia,,,,,
Anaesthesia / Perineum,Male Genitalia,CH928,"radical orchidectomy, abdominal approach",135.3,,,Anaesthesia / PerineumMale Genitalia,,,,,
Anaesthesia / Perineum,Male Genitalia,CH930,"orchiopexy, unilateral or bilateral",90.2,,,Anaesthesia / PerineumMale Genitalia,,,,,
Anaesthesia / Perineum,Male Genitalia,CH932,complete amputation of the penis,90.2,,,Anaesthesia / PerineumMale Genitalia,,,,,
Anaesthesia / Perineum,Male Genitalia,CH934,complete amputation of the penis with bilateral inguinal lymphadenectomy,135.3,,,Anaesthesia / PerineumMale Genitalia,,,,,
Anaesthesia / Perineum,Male Genitalia,CH936,complete amputation of the penis with bilateral inguinal and iliac lymphadenectomy,180.4,,,Anaesthesia / PerineumMale Genitalia,,,,,
Anaesthesia / Perineum,Male Genitalia,CH938,insertion of penile prosthesis,90.2,,,Anaesthesia / PerineumMale Genitalia,,,,,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH904,"ANAESTHESIA for radical perineal procedure, including radical perineal prostatectomy or radical vulvectomy",157.85,,,Anaesthesia / PerineumObstetrics/Gynaecology,,,,,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH906,vulvectomy,90.2,,,Anaesthesia / PerineumObstetrics/Gynaecology,,,,,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH940,"per vaginal and vaginal procedures (including biopsy of vagina, cervix or endometrium) unless otherwise specified",90.2,,,Anaesthesia / PerineumObstetrics/Gynaecology,,,,,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH942,"vaginal procedures, including repair operations and urinary incontinence procedures (perineal)",112.75,,,Anaesthesia / PerineumObstetrics/Gynaecology,,,,,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH943,transvaginal assisted reproductive services,90.2,,,Anaesthesia / PerineumObstetrics/Gynaecology,,,,,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH944,vaginal hysterectomy,135.3,,,Anaesthesia / PerineumObstetrics/Gynaecology,,,,,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH946,vaginal birth*,180.4,,,Anaesthesia / PerineumObstetrics/Gynaecology,,,,,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH948,"purse string ligation of cervix, or removal of purse string ligature",90.2,,,Anaesthesia / PerineumObstetrics/Gynaecology,,,,,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH950,culdoscopy,112.75,,,Anaesthesia / PerineumObstetrics/Gynaecology,,,,,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH952,hysteroscopy,90.2,,,Anaesthesia / PerineumObstetrics/Gynaecology,,,,,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH954,correction of inverted uterus (ASA RVG has modifier P7),225.5,,,Anaesthesia / PerineumObstetrics/Gynaecology,,,,,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH956,"evacuation of retained products of conception, as a complication of confinement",90.2,,,Anaesthesia / PerineumObstetrics/Gynaecology,,,,,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH958,manual removal of retained placenta or for repair of vaginal or perineal tear following birth*,112.75,,,Anaesthesia / PerineumObstetrics/Gynaecology,,,,,
Anaesthesia / Perineum,Obstetrics/Gynaecology,CH960,vaginal procedures in the management of post partum haemorrhage (blood loss > 500ml)*,157.85,,,Anaesthesia / PerineumObstetrics/Gynaecology,,,,,
Anaesthesia / Perineum,Transurethral,CH910,ANAESTHESIA for all transurethral procedures (including urethrocystoscopy) unless otherwise specified,90.2,,,Anaesthesia / PerineumTransurethral,,,,,
Anaesthesia / Perineum,Transurethral,CH911,endoscopic ureteric surgery including laser procedures,112.75,,,Anaesthesia / PerineumTransurethral,,,,,
Anaesthesia / Perineum,Transurethral,CH912,transurethral resection of bladder tumour(s),112.75,,,Anaesthesia / PerineumTransurethral,,,,,
Anaesthesia / Perineum,Transurethral,CH914,transurethral resection of prostate,157.85,,,Anaesthesia / PerineumTransurethral,,,,,
Anaesthesia / Perineum,Transurethral,CH916,post-transurethral resection bleeding,157.85,,,Anaesthesia / PerineumTransurethral,,,,,
Anaesthesia / Perineum,Vascular/Microsurgery,CH905,ANAESTHESIA for microvascular free tissue flap surgery involving the perineum,225.5,,,Anaesthesia / PerineumVascular/Microsurgery,,,,,
Anaesthesia / Shoulder and Axilla,Skin/Soft Tissue,CN600,ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the shoulder or axilla,67.65,,,Anaesthesia / Shoulder and AxillaSkin/Soft Tissue,,,,,
Anaesthesia / Shoulder and Axilla,Skin/Soft Tissue,CN610,"all procedures on the nerves, muscles, tendons, fascia or bursae of the shoulder or axilla, including axillary dissection",112.75,,,Anaesthesia / Shoulder and AxillaSkin/Soft Tissue,,,,,
Anaesthesia / Shoulder and Axilla,Shoulder,CN620,"ANAESTHESIA for all closed procedures on the humeral head and neck, sternoclavicular joint, acromioclavicular joint or the shoulder joint*",90.2,,,Anaesthesia / Shoulder and AxillaShoulder,,,,,
Anaesthesia / Shoulder and Axilla,Shoulder,CN622,all arthroscopic procedures of the shoulder joint,112.75,,,Anaesthesia / Shoulder and AxillaShoulder,,,,,
Anaesthesia / Shoulder and Axilla,Shoulder,CN630,"all open procedures on the humeral head and neck, sternoclavicular joint, acromioclavicular joint or the shoulder joint unless otherwise specified",112.75,,,Anaesthesia / Shoulder and AxillaShoulder,,,,,
Anaesthesia / Shoulder and Axilla,Shoulder,CN632,"radical resection involving humeral head and neck, sternoclavicular joint, acromioclavicular joint or shoulder joint",135.3,,,Anaesthesia / Shoulder and AxillaShoulder,,,,,
Anaesthesia / Shoulder and Axilla,Shoulder,CN634,shoulder disarticulation,202.95,,,Anaesthesia / Shoulder and AxillaShoulder,,,,,
Anaesthesia / Shoulder and Axilla,Shoulder,CN636,interthoracoscapular (forequarter) amputation,338.25,,,Anaesthesia / Shoulder and AxillaShoulder,,,,,
Anaesthesia / Shoulder and Axilla,Shoulder,CN638,total shoulder replacement,225.5,,,Anaesthesia / Shoulder and AxillaShoulder,,,,,
Anaesthesia / Shoulder and Axilla,Shoulder,CN680,"shoulder cast application, removal or repair unless otherwise specified*",67.65,,,Anaesthesia / Shoulder and AxillaShoulder,,,,,
Anaesthesia / Shoulder and Axilla,Shoulder,CN682,shoulder spica application*,90.2,,,Anaesthesia / Shoulder and AxillaShoulder,,,,,
Anaesthesia / Shoulder and Axilla,Vascular/Microsurgery,CN650,ANAESTHESIA for all procedures on the arteries of the shoulder or axilla unless otherwise specified,180.4,,,Anaesthesia / Shoulder and AxillaVascular/Microsurgery,,,,,
Anaesthesia / Shoulder and Axilla,Vascular/Microsurgery,CN652,procedures for axillary-brachial aneurysm,225.5,,,Anaesthesia / Shoulder and AxillaVascular/Microsurgery,,,,,
Anaesthesia / Shoulder and Axilla,Vascular/Microsurgery,CN654,bypass graft of arteries of shoulder or axilla,180.4,,,Anaesthesia / Shoulder and AxillaVascular/Microsurgery,,,,,
Anaesthesia / Shoulder and Axilla,Vascular/Microsurgery,CN656,axillary-femoral bypass graft,225.5,,,Anaesthesia / Shoulder and AxillaVascular/Microsurgery,,,,,
Anaesthesia / Shoulder and Axilla,Vascular/Microsurgery,CN670,all procedures on the veins of the shoulder or axilla,90.2,,,Anaesthesia / Shoulder and AxillaVascular/Microsurgery,,,,,
Anaesthesia / Shoulder and Axilla,Vascular/Microsurgery,CN685,microvascular free tissue flap surgery involving the shoulder or the axilla,225.5,,,Anaesthesia / Shoulder and AxillaVascular/Microsurgery,,,,,
Anaesthesia / Spine and Spinal Cord,Cervical,CE600,ANAESTHESIA for all procedures on the cervical spine and/or cord unless otherwise specified (for myelography and discography see Items CS908 and CS914),225.5,,,Anaesthesia / Spine and Spinal CordCervical,,,,,
Anaesthesia / Spine and Spinal Cord,Cervical,CE604,posterior cervical laminectomy with the patient in the sitting position,293.15,,,Anaesthesia / Spine and Spinal CordCervical,,,,,
Anaesthesia / Spine and Spinal Cord,Thoracic,CE620,ANAESTHESIA for all procedures on the thoracic spine and/or cord unless otherwise specified (for myelography and discography see Items CS906 and CS912),225.5,,,Anaesthesia / Spine and Spinal CordThoracic,,,,,
Anaesthesia / Spine and Spinal Cord,Thoracic,CE622,thoracolumbar sympathectomy,293.15,,,Anaesthesia / Spine and Spinal CordThoracic,,,,,
Anaesthesia / Spine and Spinal Cord,Lumbar,CE630,ANAESTHESIA for all procedures in the lumbar region unless otherwise specified (for myelography and discography see Items CS906 and CS912),180.4,,,Anaesthesia / Spine and Spinal CordLumbar,,,,,
Anaesthesia / Spine and Spinal Cord,Lumbar,CE632,lumbar sympathectomy,157.85,,,Anaesthesia / Spine and Spinal CordLumbar,,,,,
Anaesthesia / Spine and Spinal Cord,Lumbar,CE634,chemonucleolysis,225.5,,,Anaesthesia / Spine and Spinal CordLumbar,,,,,
Anaesthesia / Spine and Spinal Cord,Miscellaneous,CE670,ANAESTHESIA for extensive spine and spinal cord procedures,293.15,,,Anaesthesia / Spine and Spinal CordMiscellaneous,,,,,
Anaesthesia / Spine and Spinal Cord,Miscellaneous,CE680,manipulation of spine*,67.65,,,Anaesthesia / Spine and Spinal CordMiscellaneous,,,,,
Anaesthesia / Spine and Spinal Cord,Miscellaneous,CE690,percutaneous spinal procedures,112.75,,,Anaesthesia / Spine and Spinal CordMiscellaneous,,,,,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skin/Soft Tissue,CC415,"For all procedures on the nerves, muscles or other deep tissues of the chest wall unless otherwise specified",#N/A,,,Anaesthesia / Thorax (Chest Wall and Shoulder Girdle)Skin/Soft Tissue,,,,,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skin/Soft Tissue,CC400,ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the chest wall unless otherwise specified,67.65,,,Anaesthesia / Thorax (Chest Wall and Shoulder Girdle)Skin/Soft Tissue,,,,,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skin/Soft Tissue,,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the posterior part of the chest, not being a service to which another item in this subgroup applies (5 basic units) Not necessary in the ASA RVG due to modifier for prone position",112.75,,,Anaesthesia / Thorax (Chest Wall and Shoulder Girdle)Skin/Soft Tissue,,,,,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Breast,CC401,ANAESTHESIA for procedures on the breast unless otherwise specified,90.2,,,Anaesthesia / Thorax (Chest Wall and Shoulder Girdle)Breast,,,,,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Breast,CC402,reconstructive procedures on the breast including implant reconstruction and exchange,112.75,,,Anaesthesia / Thorax (Chest Wall and Shoulder Girdle)Breast,,,,,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Breast,CC403,Axillary dissection or sentinel node biopsy,112.75,,,Anaesthesia / Thorax (Chest Wall and Shoulder Girdle)Breast,,,,,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Breast,CC404,mastectomy,135.3,,,Anaesthesia / Thorax (Chest Wall and Shoulder Girdle)Breast,,,,,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Breast,CC405,reconstructive procedures on the breast using myocutaneous flaps,180.4,,,Anaesthesia / Thorax (Chest Wall and Shoulder Girdle)Breast,,,,,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Breast,CC406,radical or modified radical procedures on breast with internal mammary node dissection,293.15,,,Anaesthesia / Thorax (Chest Wall and Shoulder Girdle)Breast,,,,,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skeletal,CC440,ANAESTHESIA for percutaneous bone marrow biopsy of the sternum,90.2,,,Anaesthesia / Thorax (Chest Wall and Shoulder Girdle)Skeletal,,,,,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skeletal,CC450,"all procedures on the clavicle, scapula or sternum unless otherwise specified",112.75,,,Anaesthesia / Thorax (Chest Wall and Shoulder Girdle)Skeletal,,,,,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skeletal,CC452,"radical surgery on clavicle, scapula or sternum",135.3,,,Anaesthesia / Thorax (Chest Wall and Shoulder Girdle)Skeletal,,,,,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skeletal,CC470,partial rib resection unless otherwise specified,135.3,,,Anaesthesia / Thorax (Chest Wall and Shoulder Girdle)Skeletal,,,,,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skeletal,CC472,thoracoplasty,225.5,,,Anaesthesia / Thorax (Chest Wall and Shoulder Girdle)Skeletal,,,,,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skeletal,CC474,extensive procedures (e.g. Pectus excavatum),293.15,,,Anaesthesia / Thorax (Chest Wall and Shoulder Girdle)Skeletal,,,,,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Vascular/Microsurgery,CC475,ANAESTHESIA for microvascular free tissue flap surgery involving the anterior or posterior thorax,225.5,,,Anaesthesia / Thorax (Chest Wall and Shoulder Girdle)Vascular/Microsurgery,,,,,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Miscellaneous,CC410,ANAESTHESIA for electrical conversion of arrhythmias,90.2,,,Anaesthesia / Thorax (Chest Wall and Shoulder Girdle)Miscellaneous,,,,,
Anaesthesia / Thorax (Chest Wall and Shoulder Girdle),Skeletal,CC471,ANAESTHESIA for fixation of fractured ribs,#N/A,,,Anaesthesia / Thorax (Chest Wall and Shoulder Girdle)Skeletal,,,,,
Anaesthesia / Upper Abdomen,Endoscopy,CF742,upper gastrointestinal procedures in association with imaging techniques including fluoroscopy and ultrasound,#N/A,,,Anaesthesia / Upper AbdomenEndoscopy,,,,,
Anaesthesia / Upper Abdomen,Skin/Soft Tissue,CF700,ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the upper abdominal wall unless otherwise specified,67.65,,,Anaesthesia / Upper AbdomenSkin/Soft Tissue,,,,,
Anaesthesia / Upper Abdomen,Skin/Soft Tissue,CF703,"procedures on the nerves, muscles, tendons and fascia of the upper abdominal wall",90.2,,,Anaesthesia / Upper AbdomenSkin/Soft Tissue,,,,,
Anaesthesia / Upper Abdomen,Endoscopy,CF743,"surgical procedures on structures or organs lying outside of the lumen of the gastrointestinal tract, performed via gastrointestinal endoscopy",#N/A,,,Anaesthesia / Upper AbdomenEndoscopy,,,,,
Anaesthesia / Upper Abdomen,Intraperitoneal,CF796,liver transplant (recipient),#N/A,,,Anaesthesia / Upper AbdomenIntraperitoneal,,,,,
Anaesthesia / Upper Abdomen,Skin/Soft Tissue,,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the upper posterior abdominal wall, not being a service to which another item in this sub-group applies (5 basic units) Not necessary in ASA RVG due to modifier for prone position.",112.75,,,Anaesthesia / Upper AbdomenSkin/Soft Tissue,,,,,
Anaesthesia / Upper Abdomen,Laparoscopy,CF706,"laparoscopic procedures in the upper abdomen, including laparoscopic cholecystectomy, unless otherwise specified",157.85,,,Anaesthesia / Upper AbdomenLaparoscopy,,,,,
Anaesthesia / Upper Abdomen,Endoscopy,CF740,ANAESTHESIA for upper gastrointestinal endoscopic procedures,112.75,,,Anaesthesia / Upper AbdomenEndoscopy,,,,,
Anaesthesia / Upper Abdomen,Miscellaneous,CF715,ANAESTHESIA for extracorporeal shock wave lithotripsy (see also CG815/20815),#N/A,,,Anaesthesia / Upper AbdomenMiscellaneous,,,,,
Anaesthesia / Upper Abdomen,Endoscopy,CF745,For any of the following: a) upper gastrointestinal endoscopic procedures in association with acute gastrointestinal haemorrhage b) endoscopic retrograde cholangiopancreatography c) upper gastrointestinal endoscopic ultrasound d) percutaneous endoscopic gastrostomy e) upper gastrointestinal endoscopic mucosal resection of tumour,157.85,,,Anaesthesia / Upper AbdomenEndoscopy,,,,,
Anaesthesia / Upper Abdomen,Hernias,CF750,ANAESTHESIA for all hernia repairs to the upper abdominal wall unless otherwise specified,112.75,,,Anaesthesia / Upper AbdomenHernias,,,,,
Anaesthesia / Upper Abdomen,Hernias,CF752,repair of incisional hernia and/or wound dehiscence,135.3,,,Anaesthesia / Upper AbdomenHernias,,,,,
Anaesthesia / Upper Abdomen,Hernias,CF754,procedures on an omphalocele,157.85,,,Anaesthesia / Upper AbdomenHernias,,,,,
Anaesthesia / Upper Abdomen,Hernias,CF756,transabdominal repair of diaphragmatic hernia,202.95,,,Anaesthesia / Upper AbdomenHernias,,,,,
Anaesthesia / Upper Abdomen,Vascular/Microsurgery,CF704,ANAESTHESIA for microvascular free tissue flap surgery involving the anterior or posterior upper abdomen,225.5,,,Anaesthesia / Upper AbdomenVascular/Microsurgery,,,,,
Anaesthesia / Upper Abdomen,Vascular/Microsurgery,CF770,all procedures on major upper abdominal blood vessels,338.25,,,Anaesthesia / Upper AbdomenVascular/Microsurgery,,,,,
Anaesthesia / Upper Abdomen,Intraperitoneal,CF790,"ANAESTHESIA for procedures within the peritoneal cavity in the upper abdomen, including any of the following: a) open cholecystectomy b) gastrectomy, c) laparoscopically assisted nephrectomy d) bowel shunts",180.4,,,Anaesthesia / Upper AbdomenIntraperitoneal,,,,,
Anaesthesia / Upper Abdomen,Intraperitoneal,CF791,bariatric surgery in a patient with clinically severe obesity,225.5,,,Anaesthesia / Upper AbdomenIntraperitoneal,,,,,
Anaesthesia / Upper Abdomen,Intraperitoneal,CF792,partial hepatectomy (excluding liver biopsy),293.15,,,Anaesthesia / Upper AbdomenIntraperitoneal,,,,,
Anaesthesia / Upper Abdomen,Intraperitoneal,CF793,extended or trisegmental hepatectomy,338.25,,,Anaesthesia / Upper AbdomenIntraperitoneal,,,,,
Anaesthesia / Upper Abdomen,Intraperitoneal,CF794,"pancreatectomy, partial or total (e.g. Whipple procedure)",270.6,,,Anaesthesia / Upper AbdomenIntraperitoneal,,,,,
Anaesthesia / Upper Abdomen,Intraperitoneal,CF798,neuro-endocrine tumour removal in the upper abdomen (e.g. carcinoid),225.5,,,Anaesthesia / Upper AbdomenIntraperitoneal,,,,,
Anaesthesia / Upper Abdomen,Miscellaneous,CF799,percutaneous procedures on an intra-abdominal organ in the upper abdomen,135.3,,,Anaesthesia / Upper AbdomenMiscellaneous,,,,,
Anaesthesia / Upper Arm and Elbow,Skin/Soft Tissue,CQ700,ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the upper arm or elbow,67.65,,,Anaesthesia / Upper Arm and ElbowSkin/Soft Tissue,,,,,
Anaesthesia / Upper Arm and Elbow,Skin/Soft Tissue,CQ710,"all procedures on the nerves, muscles, tendons, fascia or bursae of the upper arm or elbow unless otherwise specified",90.2,,,Anaesthesia / Upper Arm and ElbowSkin/Soft Tissue,,,,,
Anaesthesia / Upper Arm and Elbow,Skin/Soft Tissue,CQ712,open tenotomy of the upper arm or elbow,112.75,,,Anaesthesia / Upper Arm and ElbowSkin/Soft Tissue,,,,,
Anaesthesia / Upper Arm and Elbow,Skin/Soft Tissue,CQ714,tenoplasty of the upper arm or elbow,112.75,,,Anaesthesia / Upper Arm and ElbowSkin/Soft Tissue,,,,,
Anaesthesia / Upper Arm and Elbow,Skin/Soft Tissue,CQ716,"tenodesis, rupture of long tendon of biceps",112.75,,,Anaesthesia / Upper Arm and ElbowSkin/Soft Tissue,,,,,
Anaesthesia / Upper Arm and Elbow,Upper Arm/Elbow,CQ730,ANAESTHESIA for all closed procedures on the upper arm or elbow*,67.65,,,Anaesthesia / Upper Arm and ElbowUpper Arm/Elbow,,,,,
Anaesthesia / Upper Arm and Elbow,Upper Arm/Elbow,CQ732,arthroscopic procedures of the elbow joint,90.2,,,Anaesthesia / Upper Arm and ElbowUpper Arm/Elbow,,,,,
Anaesthesia / Upper Arm and Elbow,Upper Arm/Elbow,CQ740,open procedures on the upper arm or elbow unless otherwise specified,112.75,,,Anaesthesia / Upper Arm and ElbowUpper Arm/Elbow,,,,,
Anaesthesia / Upper Arm and Elbow,Upper Arm/Elbow,CQ756,radical procedures on the upper arm or elbow,135.3,,,Anaesthesia / Upper Arm and ElbowUpper Arm/Elbow,,,,,
Anaesthesia / Upper Arm and Elbow,Upper Arm/Elbow,CQ760,total elbow replacement,157.85,,,Anaesthesia / Upper Arm and ElbowUpper Arm/Elbow,,,,,
Anaesthesia / Upper Arm and Elbow,Vascular/Microsurgery,CQ770,ANAESTHESIA for all procedures on the arteries of the upper arm unless otherwise specified,180.4,,,Anaesthesia / Upper Arm and ElbowVascular/Microsurgery,,,,,
Anaesthesia / Upper Arm and Elbow,Vascular/Microsurgery,CQ772,embolectomy of arteries of the upper arm,135.3,,,Anaesthesia / Upper Arm and ElbowVascular/Microsurgery,,,,,
Anaesthesia / Upper Arm and Elbow,Vascular/Microsurgery,CQ780,all procedures on the veins of the upper arm unless otherwise specified,90.2,,,Anaesthesia / Upper Arm and ElbowVascular/Microsurgery,,,,,
Anaesthesia / Upper Arm and Elbow,Vascular/Microsurgery,CQ785,microvascular free tissue flap surgery involving the upper arm or elbow,225.5,,,Anaesthesia / Upper Arm and ElbowVascular/Microsurgery,,,,,
Anaesthesia / Upper Arm and Elbow,Vascular/Microsurgery,CQ790,microsurgical reimplantation of the upper arm,338.25,,,Anaesthesia / Upper Arm and ElbowVascular/Microsurgery,,,,,
Anaesthesia / Upper Leg (except Knee),Skin/Soft Tissue,CK195,ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the upper leg,67.65,,,Anaesthesia / Upper Leg (except Knee)Skin/Soft Tissue,,,,,
Anaesthesia / Upper Leg (except Knee),Skin/Soft Tissue,CK199,"all procedures on the nerves, muscles, tendons, fascia, or bursae of the upper leg",90.2,,,Anaesthesia / Upper Leg (except Knee)Skin/Soft Tissue,,,,,
Anaesthesia / Upper Leg (except Knee),Hip,CK200,ANAESTHESIA for all closed procedures involving the hip joint*,90.2,,,Anaesthesia / Upper Leg (except Knee)Hip,,,,,
Anaesthesia / Upper Leg (except Knee),Hip,CK202,arthroscopic procedures of the hip joint,90.2,,,Anaesthesia / Upper Leg (except Knee)Hip,,,,,
Anaesthesia / Upper Leg (except Knee),Hip,CK210,open procedures involving the hip joint unless otherwise specified,135.3,,,Anaesthesia / Upper Leg (except Knee)Hip,,,,,
Anaesthesia / Upper Leg (except Knee),Hip,CK212,hip disarticulation,225.5,,,Anaesthesia / Upper Leg (except Knee)Hip,,,,,
Anaesthesia / Upper Leg (except Knee),Hip,CK214,Primary total hip replacement,225.5,,,Anaesthesia / Upper Leg (except Knee)Hip,,,,,
Anaesthesia / Upper Leg (except Knee),Hip,CK215,Revision total hip replacement,338.25,,,Anaesthesia / Upper Leg (except Knee)Hip,,,,,
Anaesthesia / Upper Leg (except Knee),Hip,CK216,bilateral total hip replacement,315.7,,,Anaesthesia / Upper Leg (except Knee)Hip,,,,,
Anaesthesia / Upper Leg (except Knee),Femur (Upper 2/3),CK220,ANAESTHESIA for all closed procedures involving the upper 2/3 of the femur*,90.2,,,Anaesthesia / Upper Leg (except Knee)Femur (Upper 2/3),,,,,
Anaesthesia / Upper Leg (except Knee),Femur (Upper 2/3),CK230,all open procedures involving the upper 2/3 of the femur unless otherwise specified,135.3,,,Anaesthesia / Upper Leg (except Knee)Femur (Upper 2/3),,,,,
Anaesthesia / Upper Leg (except Knee),Femur (Upper 2/3),CK232,above knee amputation,112.75,,,Anaesthesia / Upper Leg (except Knee)Femur (Upper 2/3),,,,,
Anaesthesia / Upper Leg (except Knee),Femur (Upper 2/3),CK234,radical resection of upper 2/3 of the femur,180.4,,,Anaesthesia / Upper Leg (except Knee)Femur (Upper 2/3),,,,,
Anaesthesia / Upper Leg (except Knee),Vascular/Microsurgery,CK260,"ANAESTHESIA for all procedures involving the veins of the upper leg, including exploration",90.2,,,Anaesthesia / Upper Leg (except Knee)Vascular/Microsurgery,,,,,
